id_responden,negara,pentingnya_keluarga,pentingnya_teman,pentingnya_waktu_luang,pentingnya_pekerjaan,kebebasan_memilih,kepuasan_hidup,kepuasan_finansial,skala_politik,tahun_lahir,usia,religiusitas,jenis_kelamin,status_pernikahan,status_pekerjaan
360070040,Indonesia,1.0,1.0,1.0,1.0,8,10.0,10.0,4.0,1996.0,21.0,7.0,Perempuan,Menikah,Ibu rumah tangga
360070041,Indonesia,1.0,2.0,1.0,1.0,5,6.0,4.0,6.0,1974.0,44.0,7.0,Laki-laki,Menikah,Penuh waktu
360070042,Indonesia,1.0,4.0,3.0,1.0,10,10.0,10.0,10.0,1992.0,25.0,6.0,Perempuan,Menikah,Wiraswasta
360070043,Indonesia,1.0,1.0,2.0,2.0,10,5.0,5.0,8.0,1999.0,18.0,5.0,Perempuan,Lajang,Tidak bekerja
360070044,Indonesia,1.0,1.0,2.0,1.0,5,10.0,4.0,5.0,1969.0,49.0,7.0,Laki-laki,Menikah,Paruh waktu
360070045,Indonesia,1.0,1.0,1.0,1.0,8,9.0,9.0,10.0,1993.0,24.0,4.0,Perempuan,Menikah,Ibu rumah tangga
360070046,Indonesia,1.0,2.0,3.0,1.0,9,10.0,9.0,1.0,1990.0,28.0,8.0,Perempuan,Menikah,Wiraswasta
360070047,Indonesia,1.0,1.0,1.0,1.0,5,6.0,5.0,5.0,1999.0,18.0,7.0,Perempuan,Lajang,Tidak bekerja
360070048,Indonesia,1.0,1.0,1.0,1.0,8,9.0,7.0,3.0,1967.0,51.0,10.0,Perempuan,Menikah,Wiraswasta
360070049,Indonesia,1.0,1.0,1.0,1.0,10,5.0,10.0,10.0,1998.0,19.0,4.0,Laki-laki,Lajang,Paruh waktu
360070050,Indonesia,1.0,3.0,3.0,1.0,10,10.0,10.0,10.0,1994.0,23.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070051,Indonesia,1.0,1.0,1.0,1.0,8,10.0,5.0,-1.0,1976.0,42.0,6.0,Laki-laki,Menikah,Wiraswasta
360070052,Indonesia,1.0,2.0,2.0,1.0,8,9.0,7.0,-1.0,1990.0,28.0,6.0,Perempuan,Menikah,Ibu rumah tangga
360070053,Indonesia,1.0,2.0,1.0,1.0,7,8.0,7.0,5.0,1993.0,25.0,8.0,Perempuan,Menikah,Wiraswasta
360070054,Indonesia,1.0,3.0,3.0,1.0,5,10.0,7.0,-2.0,1980.0,38.0,7.0,Laki-laki,Menikah,Wiraswasta
360070055,Indonesia,1.0,1.0,1.0,1.0,5,5.0,5.0,5.0,1973.0,45.0,9.0,Perempuan,Menikah,Ibu rumah tangga
360070056,Indonesia,1.0,2.0,1.0,1.0,2,-1.0,2.0,-1.0,1976.0,42.0,6.0,Perempuan,Menikah,Paruh waktu
360070057,Indonesia,1.0,3.0,1.0,1.0,9,8.0,9.0,-1.0,1994.0,24.0,9.0,Perempuan,Bercerai,Ibu rumah tangga
360070058,Indonesia,1.0,1.0,1.0,1.0,5,9.0,7.0,5.0,1996.0,23.0,9.0,Perempuan,Lajang,Tidak bekerja
360070059,Indonesia,1.0,3.0,1.0,1.0,5,7.0,8.0,4.0,1990.0,28.0,7.0,Perempuan,Menikah,Ibu rumah tangga
360070060,Indonesia,1.0,2.0,1.0,1.0,7,9.0,8.0,-1.0,1994.0,24.0,8.0,Perempuan,Menikah,Wiraswasta
360070061,Indonesia,1.0,1.0,1.0,1.0,10,10.0,7.0,8.0,1984.0,33.0,7.0,Laki-laki,Menikah,Wiraswasta
360070062,Indonesia,1.0,1.0,1.0,1.0,10,10.0,5.0,-1.0,1986.0,32.0,6.0,Perempuan,Menikah,Ibu rumah tangga
360070063,Indonesia,1.0,1.0,3.0,1.0,2,5.0,1.0,1.0,1988.0,30.0,9.0,Laki-laki,Menikah,Wiraswasta
360070064,Indonesia,1.0,1.0,1.0,1.0,7,6.0,8.0,10.0,1985.0,33.0,7.0,Perempuan,Menikah,Ibu rumah tangga
360070065,Indonesia,1.0,1.0,2.0,1.0,10,10.0,10.0,5.0,1976.0,42.0,7.0,Laki-laki,Menikah,Wiraswasta
360070066,Indonesia,1.0,1.0,2.0,1.0,10,4.0,6.0,10.0,1982.0,36.0,7.0,Perempuan,Menikah,Wiraswasta
360070067,Indonesia,1.0,1.0,2.0,1.0,10,4.0,10.0,10.0,1963.0,55.0,6.0,Laki-laki,Menikah,Wiraswasta
360070068,Indonesia,1.0,1.0,1.0,1.0,1,5.0,5.0,-1.0,1974.0,43.0,8.0,Perempuan,Menikah,Penuh waktu
360070069,Indonesia,1.0,2.0,1.0,1.0,8,8.0,2.0,4.0,1973.0,45.0,7.0,Laki-laki,Menikah,Wiraswasta
360070070,Indonesia,1.0,2.0,4.0,1.0,10,1.0,4.0,10.0,1971.0,47.0,6.0,Perempuan,Bercerai,Penuh waktu
360070071,Indonesia,1.0,2.0,1.0,1.0,8,10.0,10.0,10.0,1977.0,41.0,9.0,Laki-laki,Menikah,Penuh waktu
360070072,Indonesia,1.0,2.0,2.0,1.0,10,6.0,7.0,7.0,1999.0,18.0,10.0,Laki-laki,Lajang,Wiraswasta
360070073,Indonesia,1.0,4.0,3.0,1.0,8,3.0,10.0,10.0,1987.0,30.0,6.0,Perempuan,Menikah,Ibu rumah tangga
360070074,Indonesia,1.0,1.0,2.0,2.0,5,9.0,8.0,-1.0,1999.0,19.0,10.0,Perempuan,Lajang,Pelajar/Mahasiswa
360070075,Indonesia,1.0,3.0,2.0,1.0,6,6.0,7.0,-1.0,1971.0,47.0,7.0,Laki-laki,Menikah,Paruh waktu
360070076,Indonesia,1.0,2.0,3.0,1.0,8,9.0,10.0,7.0,1986.0,32.0,7.0,Perempuan,Menikah,Ibu rumah tangga
360070077,Indonesia,1.0,1.0,3.0,1.0,10,10.0,1.0,10.0,1975.0,43.0,6.0,Laki-laki,Menikah,Penuh waktu
360070078,Indonesia,1.0,1.0,2.0,1.0,8,10.0,6.0,10.0,1999.0,18.0,10.0,Laki-laki,Lajang,Wiraswasta
360070079,Indonesia,1.0,2.0,2.0,1.0,6,6.0,5.0,5.0,1986.0,31.0,7.0,Perempuan,Lajang,Paruh waktu
360070080,Indonesia,1.0,1.0,1.0,1.0,1,10.0,9.0,5.0,1987.0,31.0,9.0,Perempuan,Menikah,Ibu rumah tangga
360070081,Indonesia,1.0,1.0,3.0,1.0,10,10.0,10.0,10.0,1976.0,41.0,8.0,Laki-laki,Menikah,Wiraswasta
360070082,Indonesia,1.0,1.0,1.0,1.0,10,1.0,1.0,-1.0,1976.0,42.0,8.0,Laki-laki,Lajang,Wiraswasta
360070083,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,10.0,1986.0,32.0,4.0,Laki-laki,Menikah,Paruh waktu
360070084,Indonesia,1.0,2.0,2.0,1.0,10,10.0,10.0,1.0,1990.0,28.0,3.0,Laki-laki,Lajang,Penuh waktu
360070085,Indonesia,1.0,1.0,3.0,2.0,8,10.0,8.0,10.0,1961.0,57.0,7.0,Laki-laki,Menikah,Wiraswasta
360070086,Indonesia,1.0,1.0,1.0,1.0,4,8.0,6.0,7.0,1968.0,49.0,10.0,Perempuan,Menikah,Penuh waktu
360070087,Indonesia,1.0,2.0,1.0,1.0,9,6.0,6.0,10.0,1965.0,53.0,9.0,Perempuan,Janda/Duda,Wiraswasta
360070088,Indonesia,1.0,2.0,1.0,1.0,10,8.0,6.0,5.0,1996.0,22.0,10.0,Laki-laki,Lajang,Penuh waktu
360070089,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,5.0,1982.0,35.0,7.0,Laki-laki,Menikah,Paruh waktu
360070090,Indonesia,1.0,1.0,1.0,1.0,8,8.0,6.0,4.0,1986.0,32.0,9.0,Perempuan,Menikah,Wiraswasta
360070091,Indonesia,1.0,2.0,2.0,1.0,10,5.0,8.0,3.0,1988.0,30.0,6.0,Laki-laki,Menikah,Penuh waktu
360070092,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,10.0,1950.0,68.0,8.0,Laki-laki,Menikah,Wiraswasta
360070093,Indonesia,1.0,2.0,1.0,1.0,4,3.0,2.0,3.0,1974.0,44.0,7.0,Laki-laki,Menikah,Wiraswasta
360070094,Indonesia,1.0,1.0,1.0,1.0,10,10.0,1.0,5.0,1972.0,46.0,7.0,Perempuan,Bercerai,Wiraswasta
360070095,Indonesia,1.0,1.0,3.0,2.0,9,10.0,1.0,5.0,1998.0,20.0,7.0,Perempuan,Lajang,Tidak bekerja
360070096,Indonesia,1.0,2.0,3.0,2.0,9,10.0,7.0,8.0,1993.0,25.0,3.0,Laki-laki,Lajang,Penuh waktu
360070097,Indonesia,1.0,2.0,1.0,1.0,10,10.0,7.0,9.0,1981.0,37.0,10.0,Laki-laki,Menikah,Penuh waktu
360070098,Indonesia,1.0,2.0,1.0,1.0,10,10.0,2.0,10.0,1997.0,21.0,6.0,Laki-laki,Lajang,Paruh waktu
360070099,Indonesia,1.0,2.0,1.0,1.0,5,10.0,5.0,10.0,1988.0,29.0,4.0,Laki-laki,Menikah,Paruh waktu
360070100,Indonesia,1.0,1.0,3.0,1.0,5,4.0,3.0,7.0,1988.0,29.0,8.0,Perempuan,Menikah,Paruh waktu
360070101,Indonesia,1.0,2.0,3.0,1.0,10,10.0,5.0,7.0,1966.0,53.0,7.0,Perempuan,Janda/Duda,Paruh waktu
360070102,Indonesia,1.0,2.0,2.0,1.0,8,10.0,4.0,8.0,1982.0,36.0,4.0,Perempuan,Menikah,Paruh waktu
360070103,Indonesia,1.0,3.0,1.0,1.0,7,7.0,8.0,10.0,1983.0,35.0,8.0,Perempuan,Bercerai,Penuh waktu
360070104,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,-1.0,1988.0,30.0,7.0,Perempuan,Menikah,Penuh waktu
360070105,Indonesia,1.0,1.0,1.0,1.0,5,5.0,5.0,5.0,1988.0,29.0,8.0,Laki-laki,Menikah,Wiraswasta
360070106,Indonesia,1.0,2.0,1.0,1.0,10,1.0,1.0,5.0,1977.0,41.0,6.0,Perempuan,Bercerai,Penuh waktu
360070107,Indonesia,1.0,1.0,3.0,2.0,10,10.0,3.0,5.0,1999.0,19.0,9.0,Perempuan,Lajang,Penuh waktu
360070108,Indonesia,1.0,1.0,1.0,1.0,8,9.0,8.0,-1.0,1980.0,38.0,7.0,Perempuan,Menikah,Paruh waktu
360070109,Indonesia,1.0,1.0,1.0,1.0,8,5.0,5.0,5.0,1994.0,24.0,10.0,Perempuan,Lajang,Penuh waktu
360070110,Indonesia,1.0,2.0,3.0,1.0,8,5.0,5.0,9.0,1957.0,61.0,6.0,Laki-laki,Menikah,Wiraswasta
360070111,Indonesia,1.0,1.0,2.0,1.0,7,6.0,5.0,6.0,1977.0,41.0,7.0,Perempuan,Menikah,Penuh waktu
360070112,Indonesia,1.0,3.0,1.0,1.0,7,10.0,10.0,1.0,1982.0,36.0,6.0,Perempuan,Menikah,Wiraswasta
360070113,Indonesia,1.0,1.0,1.0,1.0,10,,3.0,-1.0,1986.0,32.0,10.0,Laki-laki,Menikah,Wiraswasta
360070114,Indonesia,1.0,3.0,1.0,1.0,8,10.0,6.0,6.0,1995.0,22.0,4.0,Laki-laki,Lajang,Wiraswasta
360070115,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,5.0,1979.0,39.0,10.0,Laki-laki,Menikah,Wiraswasta
360070116,Indonesia,1.0,1.0,1.0,1.0,9,10.0,10.0,10.0,1995.0,23.0,8.0,Perempuan,Menikah,Ibu rumah tangga
360070117,Indonesia,1.0,2.0,2.0,1.0,10,10.0,10.0,10.0,1987.0,31.0,10.0,Perempuan,Menikah,Wiraswasta
360070118,Indonesia,1.0,1.0,3.0,1.0,8,5.0,5.0,5.0,1986.0,31.0,8.0,Perempuan,Menikah,Wiraswasta
360070119,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,9.0,1999.0,18.0,7.0,Perempuan,Lajang,Wiraswasta
360070120,Indonesia,1.0,1.0,2.0,1.0,4,8.0,6.0,7.0,1982.0,36.0,8.0,Laki-laki,Menikah,Wiraswasta
360070121,Indonesia,1.0,1.0,1.0,1.0,10,9.0,8.0,10.0,1990.0,28.0,7.0,Laki-laki,Menikah,Paruh waktu
360070122,Indonesia,1.0,1.0,1.0,1.0,10,10.0,7.0,9.0,1978.0,40.0,7.0,Laki-laki,Menikah,Penuh waktu
360070123,Indonesia,1.0,1.0,3.0,1.0,8,10.0,10.0,5.0,1999.0,19.0,5.0,Laki-laki,Lajang,Tidak bekerja
360070124,Indonesia,1.0,1.0,1.0,1.0,7,5.0,4.0,5.0,1967.0,52.0,9.0,Laki-laki,Menikah,Paruh waktu
360070125,Indonesia,1.0,2.0,3.0,1.0,10,10.0,10.0,5.0,1999.0,19.0,7.0,Perempuan,Lajang,Tidak bekerja
360070126,Indonesia,1.0,2.0,1.0,1.0,10,10.0,10.0,10.0,1998.0,20.0,8.0,Perempuan,Menikah,Wiraswasta
360070127,Indonesia,1.0,1.0,2.0,1.0,10,10.0,10.0,10.0,1996.0,22.0,9.0,Laki-laki,Menikah,Wiraswasta
360070128,Indonesia,1.0,2.0,1.0,1.0,8,6.0,8.0,1.0,1988.0,30.0,9.0,Perempuan,Menikah,Penuh waktu
360070129,Indonesia,1.0,2.0,3.0,1.0,9,10.0,9.0,-1.0,1973.0,45.0,7.0,Perempuan,Menikah,Wiraswasta
360070130,Indonesia,1.0,2.0,1.0,1.0,9,10.0,5.0,6.0,1984.0,34.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070131,Indonesia,1.0,1.0,1.0,1.0,6,5.0,7.0,6.0,1996.0,22.0,10.0,Perempuan,Lajang,Pelajar/Mahasiswa
360070132,Indonesia,1.0,3.0,2.0,1.0,10,10.0,10.0,8.0,1993.0,24.0,9.0,Perempuan,Menikah,Ibu rumah tangga
360070133,Indonesia,1.0,1.0,2.0,2.0,10,9.0,5.0,9.0,1978.0,40.0,7.0,Laki-laki,Bercerai,Wiraswasta
360070134,Indonesia,1.0,1.0,2.0,1.0,8,8.0,9.0,6.0,1964.0,54.0,10.0,Laki-laki,Menikah,Penuh waktu
360070135,Indonesia,1.0,1.0,1.0,2.0,7,7.0,6.0,6.0,1977.0,41.0,7.0,Perempuan,Menikah,Ibu rumah tangga
360070136,Indonesia,1.0,1.0,1.0,4.0,6,10.0,8.0,10.0,1980.0,38.0,7.0,Perempuan,Menikah,Wiraswasta
360070137,Indonesia,2.0,2.0,1.0,1.0,10,10.0,10.0,2.0,1999.0,18.0,9.0,Laki-laki,Lajang,Wiraswasta
360070138,Indonesia,1.0,1.0,1.0,1.0,5,8.0,10.0,-1.0,1980.0,38.0,9.0,Perempuan,Menikah,Wiraswasta
360070139,Indonesia,1.0,1.0,1.0,1.0,5,3.0,3.0,5.0,1963.0,55.0,6.0,Laki-laki,Menikah,Wiraswasta
360070140,Indonesia,1.0,2.0,1.0,1.0,8,8.0,10.0,10.0,2000.0,18.0,10.0,Perempuan,Lajang,Pelajar/Mahasiswa
360070141,Indonesia,1.0,1.0,1.0,1.0,8,9.0,3.0,9.0,1979.0,38.0,10.0,Perempuan,Menikah,Wiraswasta
360070142,Indonesia,1.0,2.0,1.0,1.0,10,9.0,9.0,9.0,1968.0,50.0,10.0,Laki-laki,Menikah,Wiraswasta
360070143,Indonesia,1.0,1.0,1.0,1.0,9,10.0,10.0,-2.0,1984.0,34.0,8.0,Perempuan,Menikah,Ibu rumah tangga
360070144,Indonesia,1.0,1.0,1.0,1.0,10,9.0,9.0,7.0,1988.0,30.0,7.0,Perempuan,Lajang,Penuh waktu
360070145,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,1.0,1977.0,40.0,9.0,Laki-laki,Menikah,Penuh waktu
360070146,Indonesia,1.0,1.0,1.0,1.0,8,8.0,8.0,-1.0,1970.0,48.0,10.0,Laki-laki,Menikah,Penuh waktu
360070147,Indonesia,1.0,3.0,2.0,3.0,5,8.0,8.0,5.0,1981.0,36.0,6.0,Perempuan,Menikah,Wiraswasta
360070148,Indonesia,1.0,3.0,1.0,1.0,7,9.0,10.0,5.0,1979.0,39.0,10.0,Perempuan,Menikah,Wiraswasta
360070149,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,5.0,1980.0,38.0,7.0,Perempuan,Menikah,Wiraswasta
360070150,Indonesia,1.0,1.0,1.0,1.0,5,10.0,10.0,10.0,1972.0,46.0,7.0,Laki-laki,Menikah,Wiraswasta
360070151,Indonesia,1.0,2.0,3.0,1.0,10,10.0,10.0,5.0,1973.0,45.0,9.0,Perempuan,Menikah,Ibu rumah tangga
360070152,Indonesia,1.0,2.0,1.0,1.0,7,6.0,7.0,5.0,1999.0,19.0,5.0,Laki-laki,Lajang,Pelajar/Mahasiswa
360070153,Indonesia,1.0,2.0,1.0,1.0,8,10.0,10.0,10.0,1999.0,19.0,5.0,Perempuan,Lajang,Pelajar/Mahasiswa
360070154,Indonesia,1.0,2.0,1.0,1.0,10,10.0,10.0,10.0,1960.0,57.0,9.0,Perempuan,Janda/Duda,Ibu rumah tangga
360070155,Indonesia,1.0,2.0,1.0,1.0,10,9.0,9.0,10.0,1998.0,20.0,10.0,Laki-laki,Lajang,Pelajar/Mahasiswa
360070156,Indonesia,1.0,2.0,1.0,2.0,8,7.0,8.0,5.0,1989.0,29.0,4.0,Perempuan,Menikah,Ibu rumah tangga
360070157,Indonesia,1.0,2.0,2.0,1.0,4,5.0,3.0,6.0,1969.0,49.0,6.0,Perempuan,Menikah,Penuh waktu
360070158,Indonesia,1.0,2.0,3.0,1.0,8,3.0,8.0,5.0,1982.0,36.0,5.0,Laki-laki,Menikah,Penuh waktu
360070159,Indonesia,1.0,2.0,1.0,1.0,10,5.0,3.0,1.0,1977.0,40.0,9.0,Perempuan,Janda/Duda,Penuh waktu
360070160,Indonesia,1.0,2.0,1.0,1.0,10,1.0,5.0,10.0,1976.0,42.0,4.0,Laki-laki,Menikah,Wiraswasta
360070161,Indonesia,1.0,3.0,1.0,1.0,10,10.0,9.0,8.0,1989.0,29.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070162,Indonesia,1.0,1.0,1.0,1.0,8,10.0,10.0,6.0,1983.0,35.0,10.0,Perempuan,Menikah,Penuh waktu
360070163,Indonesia,1.0,2.0,1.0,1.0,3,9.0,7.0,10.0,2000.0,18.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070164,Indonesia,1.0,2.0,3.0,1.0,7,6.0,4.0,8.0,1982.0,36.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070165,Indonesia,1.0,3.0,2.0,1.0,8,5.0,4.0,5.0,1990.0,28.0,10.0,Perempuan,Menikah,Wiraswasta
360070166,Indonesia,1.0,3.0,1.0,1.0,10,5.0,5.0,5.0,1986.0,31.0,10.0,Perempuan,Menikah,Ibu rumah tangga
360070167,Indonesia,1.0,1.0,1.0,1.0,10,10.0,10.0,10.0,1995.0,22.0,6.0,Perempuan,Menikah,Wiraswasta
360070168,Indonesia,1.0,1.0,1.0,1.0,10,10.0,1.0,-1.0,1982.0,35.0,8.0,Perempuan,Menikah,Wiraswasta
360070169,Indonesia,1.0,3.0,1.0,1.0,10,10.0,10.0,10.0,1987.0,30.0,10.0,Laki-laki,Menikah,Penuh waktu
360070170,Indonesia,1.0,3.0,2.0,1.0,8,10.0,6.0,10.0,1988.0,30.0,8.0,Perempuan,Menikah,Ibu rumah tangga
360070171,Indonesia,1.0,3.0,1.0,2.0,5,10.0,5.0,5.0,1975.0,43.0,10.0,Laki-laki,Menikah,Wiraswasta
360070172,Indonesia,1.0,2.0,1.0,2.0,10,10.0,10.0,10.0,1970.0,48.0,9.0,Perempuan,Menikah,Ibu rumah tangga
360070173,Indonesia,1.0,3.0,2.0,2.0,10,10.0,10.0,10.0,1971.0,47.0,10.0,Laki-laki,Menikah,Wiraswasta
360070174,Indonesia,1.0,2.0,1.0,1.0,5,7.0,5.0,5.0,1991.0,27.0,4.0,Perempuan,Menikah,Wiraswasta
360070175,Indonesia,1.0,2.0,3.0,1.0,6,7.0,7.0,6.0,1963.0,55.0,6.0,Laki-laki,Janda/Duda,Wiraswasta
360070176,Indonesia,1.0,2.0,2.0,1.0,5,8.0,8.0,5.0,1962.0,55.0,9.0,Perempuan,Menikah,Penuh waktu
360070177,Indonesia,1.0,1.0,3.0,1.0,10,10.0,8.0,9.0,1970.0,48.0,9.0,Laki-laki,Menikah,Penuh waktu
360070178,Indonesia,1.0,1.0,2.0,1.0,10,10.0,8.0,5.0,1998.0,20.0,4.0,Perempuan,Lajang,Pelajar/Mahasiswa
360070179,Indonesia,1.0,1.0,1.0,1.0,1,10.0,10.0,10.0,1975.0,42.0,10.0,Laki-laki,Menikah,Wiraswasta
360070180,Indonesia,1.0,3.0,1.0,1.0,1,5.0,1.0,5.0,1974.0,44.0,6.0,Perempuan,Bercerai,Penuh waktu
360070181,Indonesia,1.0,1.0,3.0,1.0,8,8.0,7.0,8.0,1984.0,34.0,3.0,Laki-laki,Menikah,Wiraswasta
360070182,Indonesia,1.0,1.0,2.0,1.0,10,8.0,7.0,-1.0,1999.0,19.0,9.0,Laki-laki,Lajang,Penuh waktu
360070183,Indonesia,1.0,1.0,3.0,1.0,4,1.0,1.0,10.0,1963.0,55.0,10.0,Laki-laki,Menikah,Wiraswasta
360070184,Indonesia,1.0,1.0,2.0,1.0,8,7.0,6.0,-1.0,1975.0,42.0,9.0,Perempuan,Menikah,Ibu rumah tangga
360070185,Indonesia,1.0,3.0,1.0,1.0,7,10.0,10.0,1.0,1998.0,20.0,9.0,Perempuan,Lajang,Tidak bekerja
360070186,Indonesia,1.0,2.0,4.0,1.0,10,7.0,5.0,10.0,1958.0,60.0,8.0,Perempuan,Menikah,Wiraswasta
