negara,id_responden,pentingnya_keluarga,pentingnya_teman,pentingnya_waktu_luang,pentingnya_pekerjaan,kebebasan_memilih,kepuasan_hidup,kepuasan_finansial,religiusitas,skala_politik,jenis_kelamin,tahun_lahir,usia,status_pernikahan,status_pekerjaan
Kanada,124070102,1.0,1.0,1.0,3.0,8.0,9.0,5.0,2.0,5.0,Perempuan,1952.0,68.0,Bercerai,Pensiunan
Kanada,124070104,1.0,2.0,2.0,2.0,8.0,7.0,7.0,4.0,3.0,Laki-laki,1991.0,28.0,Menikah,Penuh waktu
Kanada,124070106,1.0,1.0,2.0,1.0,8.0,8.0,7.0,4.0,5.0,Perempuan,1994.0,26.0,Kohabitasi,Penuh waktu
Kanada,124070108,1.0,1.0,2.0,1.0,8.0,10.0,10.0,4.0,4.0,Perempuan,1991.0,29.0,Kohabitasi,Penuh waktu
Kanada,124070109,1.0,1.0,1.0,1.0,8.0,5.0,8.0,5.0,5.0,Perempuan,1985.0,35.0,Lajang,Penuh waktu
Kanada,124070111,2.0,1.0,1.0,1.0,10.0,10.0,10.0,3.0,10.0,Laki-laki,1988.0,32.0,Lajang,Penuh waktu
Kanada,124070112,1.0,1.0,2.0,1.0,8.0,7.0,6.0,9.0,5.0,Laki-laki,1974.0,45.0,Kohabitasi,Penuh waktu
Kanada,124070113,1.0,1.0,1.0,1.0,10.0,7.0,3.0,1.0,5.0,Laki-laki,1988.0,32.0,Lajang,Tidak bekerja
Kanada,124070114,1.0,2.0,1.0,1.0,9.0,9.0,9.0,2.0,8.0,Laki-laki,1980.0,39.0,Kohabitasi,Penuh waktu
Kanada,124070115,4.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,Laki-laki,1996.0,24.0,Kohabitasi,Paruh waktu
Kanada,124070117,1.0,2.0,1.0,1.0,7.0,8.0,6.0,1.0,7.0,Laki-laki,1982.0,38.0,Lajang,Penuh waktu
Kanada,124070119,1.0,2.0,1.0,2.0,10.0,7.0,8.0,2.0,2.0,Perempuan,1991.0,29.0,Kohabitasi,Penuh waktu
Kanada,124070120,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,5.0,Perempuan,1954.0,66.0,Janda/Duda,Penuh waktu
Kanada,124070121,1.0,2.0,2.0,2.0,7.0,7.0,7.0,1.0,5.0,Perempuan,1989.0,31.0,Lajang,Penuh waktu
Kanada,124070122,1.0,1.0,2.0,1.0,7.0,8.0,6.0,7.0,5.0,Perempuan,1975.0,45.0,Lajang,Penuh waktu
Kanada,124070123,1.0,1.0,2.0,2.0,8.0,8.0,6.0,6.0,7.0,Perempuan,1995.0,25.0,Menikah,Paruh waktu
Kanada,124070125,1.0,2.0,1.0,3.0,6.0,5.0,3.0,3.0,1.0,Laki-laki,1976.0,44.0,Menikah,Penuh waktu
Kanada,124070126,2.0,3.0,2.0,2.0,8.0,8.0,8.0,6.0,6.0,Laki-laki,1958.0,62.0,Menikah,Pensiunan
Kanada,124070127,1.0,1.0,1.0,1.0,7.0,6.0,5.0,1.0,3.0,Perempuan,1974.0,45.0,Bercerai,Penuh waktu
Kanada,124070128,1.0,2.0,1.0,2.0,7.0,4.0,2.0,10.0,5.0,Perempuan,1969.0,51.0,Bercerai,Penuh waktu
Kanada,124070129,1.0,1.0,1.0,2.0,7.0,7.0,3.0,3.0,5.0,Perempuan,1987.0,33.0,Lajang,Pelajar/Mahasiswa
Kanada,124070130,1.0,2.0,1.0,1.0,9.0,6.0,4.0,1.0,4.0,Laki-laki,1967.0,53.0,Menikah,Tidak bekerja
Kanada,124070131,1.0,1.0,1.0,2.0,7.0,7.0,7.0,5.0,6.0,Laki-laki,1987.0,32.0,Kohabitasi,Penuh waktu
Kanada,124070132,2.0,1.0,3.0,3.0,7.0,2.0,2.0,6.0,4.0,Perempuan,1991.0,28.0,Lajang,Pelajar/Mahasiswa
Kanada,124070133,1.0,1.0,1.0,1.0,9.0,9.0,8.0,3.0,6.0,Perempuan,1982.0,38.0,Kohabitasi,Penuh waktu
Kanada,124070134,1.0,1.0,1.0,3.0,10.0,4.0,2.0,3.0,1.0,Perempuan,1987.0,32.0,Lajang,Penuh waktu
Kanada,124070136,2.0,2.0,1.0,2.0,4.0,6.0,6.0,5.0,5.0,Laki-laki,1992.0,27.0,Lajang,Penuh waktu
Kanada,124070137,1.0,1.0,1.0,2.0,5.0,5.0,5.0,3.0,2.0,Laki-laki,1973.0,47.0,Lajang,Paruh waktu
Kanada,124070138,1.0,2.0,1.0,1.0,9.0,6.0,9.0,3.0,5.0,Perempuan,1997.0,23.0,Lajang,Penuh waktu
Kanada,124070139,1.0,1.0,2.0,2.0,7.0,8.0,6.0,8.0,4.0,Laki-laki,1980.0,40.0,Menikah,Penuh waktu
Kanada,124070140,2.0,2.0,1.0,1.0,8.0,7.0,7.0,3.0,2.0,Perempuan,1987.0,33.0,Menikah,Penuh waktu
Kanada,124070141,1.0,1.0,1.0,2.0,8.0,8.0,7.0,6.0,6.0,Perempuan,1952.0,68.0,Menikah,Pensiunan
Kanada,124070142,2.0,2.0,1.0,1.0,4.0,8.0,8.0,8.0,5.0,Perempuan,1969.0,51.0,Bercerai,Penuh waktu
Kanada,124070143,2.0,1.0,2.0,2.0,6.0,6.0,5.0,10.0,3.0,Perempuan,1990.0,30.0,Menikah,Paruh waktu
Kanada,124070144,3.0,2.0,2.0,2.0,6.0,6.0,5.0,2.0,5.0,Laki-laki,1969.0,51.0,Lajang,Wiraswasta
Kanada,124070145,1.0,1.0,2.0,3.0,9.0,9.0,9.0,7.0,10.0,Perempuan,1940.0,80.0,Janda/Duda,Pensiunan
Kanada,124070146,2.0,2.0,1.0,3.0,8.0,7.0,9.0,1.0,4.0,Laki-laki,1970.0,50.0,Lajang,Pensiunan
Kanada,124070147,1.0,1.0,2.0,1.0,7.0,3.0,6.0,5.0,7.0,Laki-laki,2001.0,19.0,Lajang,Paruh waktu
Kanada,124070148,1.0,1.0,1.0,1.0,8.0,7.0,7.0,6.0,3.0,Perempuan,1994.0,26.0,Menikah,Penuh waktu
Kanada,124070150,1.0,3.0,2.0,3.0,8.0,8.0,3.0,4.0,5.0,Perempuan,1966.0,53.0,Kohabitasi,Tidak bekerja
Kanada,124070151,1.0,1.0,1.0,1.0,10.0,10.0,10.0,1.0,10.0,Laki-laki,1990.0,29.0,Kohabitasi,Paruh waktu
Kanada,124070152,1.0,2.0,2.0,2.0,8.0,6.0,4.0,10.0,5.0,Perempuan,1982.0,37.0,Menikah,Paruh waktu
Kanada,124070153,1.0,2.0,2.0,2.0,9.0,7.0,5.0,5.0,4.0,Laki-laki,1987.0,33.0,Menikah,Penuh waktu
Kanada,124070154,1.0,1.0,2.0,3.0,7.0,8.0,7.0,9.0,1.0,Perempuan,1933.0,86.0,Janda/Duda,Wiraswasta
Kanada,124070155,1.0,1.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,Perempuan,1997.0,22.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124070156,1.0,3.0,2.0,2.0,8.0,6.0,7.0,5.0,6.0,Perempuan,1970.0,50.0,Lajang,Penuh waktu
Kanada,124070158,1.0,1.0,1.0,2.0,8.0,8.0,7.0,3.0,4.0,Laki-laki,1990.0,30.0,Lajang,Penuh waktu
Kanada,124070159,1.0,1.0,2.0,1.0,9.0,5.0,4.0,3.0,5.0,Perempuan,1993.0,27.0,Pisah,Paruh waktu
Kanada,124070160,1.0,2.0,2.0,1.0,8.0,3.0,1.0,8.0,5.0,Perempuan,1975.0,45.0,Lajang,Tidak bekerja
Kanada,124070161,1.0,3.0,1.0,2.0,7.0,7.0,8.0,1.0,4.0,Perempuan,1999.0,20.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124070162,1.0,1.0,1.0,2.0,6.0,6.0,7.0,8.0,8.0,Perempuan,1997.0,23.0,Lajang,Paruh waktu
Kanada,124070163,1.0,1.0,1.0,2.0,10.0,10.0,8.0,3.0,5.0,Perempuan,1993.0,27.0,Kohabitasi,Penuh waktu
Kanada,124070164,1.0,1.0,1.0,1.0,7.0,7.0,7.0,3.0,7.0,Perempuan,1986.0,34.0,Menikah,Penuh waktu
Kanada,124070166,1.0,2.0,1.0,1.0,7.0,8.0,7.0,4.0,5.0,Laki-laki,1966.0,54.0,Menikah,Penuh waktu
Kanada,124070169,2.0,1.0,1.0,1.0,8.0,8.0,5.0,3.0,6.0,Perempuan,1978.0,42.0,Lajang,Penuh waktu
Kanada,124070171,1.0,2.0,1.0,2.0,5.0,5.0,6.0,8.0,5.0,Laki-laki,2002.0,18.0,Lajang,Pelajar/Mahasiswa
Kanada,124070172,1.0,2.0,1.0,2.0,7.0,6.0,4.0,3.0,3.0,Perempuan,1994.0,26.0,Lajang,Penuh waktu
Kanada,124070173,1.0,1.0,2.0,2.0,8.0,7.0,8.0,3.0,3.0,Perempuan,1955.0,65.0,Menikah,Pensiunan
Kanada,124070174,1.0,2.0,1.0,1.0,9.0,7.0,6.0,3.0,4.0,Perempuan,1986.0,34.0,Menikah,Penuh waktu
Kanada,124070175,1.0,1.0,1.0,2.0,8.0,8.0,7.0,4.0,5.0,Laki-laki,1989.0,31.0,Kohabitasi,Penuh waktu
Kanada,124070176,1.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,7.0,Laki-laki,1971.0,49.0,Lajang,Pensiunan
Kanada,124070177,2.0,1.0,3.0,3.0,8.0,7.0,7.0,1.0,3.0,Perempuan,1982.0,38.0,Menikah,Ibu rumah tangga
Kanada,124070178,1.0,1.0,2.0,2.0,10.0,5.0,10.0,8.0,5.0,Laki-laki,1998.0,21.0,Lajang,Pelajar/Mahasiswa
Kanada,124070179,1.0,2.0,3.0,4.0,8.0,8.0,9.0,6.0,5.0,Perempuan,1951.0,69.0,Bercerai,Pensiunan
Kanada,124070180,1.0,2.0,2.0,2.0,9.0,9.0,9.0,3.0,7.0,Laki-laki,1964.0,56.0,Lajang,Pensiunan
Kanada,124070181,1.0,2.0,2.0,2.0,7.0,7.0,7.0,4.0,8.0,Perempuan,1982.0,37.0,Menikah,Penuh waktu
Kanada,124070182,2.0,2.0,2.0,2.0,9.0,7.0,8.0,3.0,6.0,Perempuan,1994.0,26.0,Kohabitasi,Pelajar/Mahasiswa
Kanada,124070183,1.0,1.0,2.0,2.0,8.0,8.0,8.0,10.0,3.0,Perempuan,1959.0,60.0,Bercerai,Paruh waktu
Kanada,124070184,2.0,2.0,1.0,1.0,9.0,8.0,8.0,5.0,10.0,Perempuan,1972.0,48.0,Menikah,Penuh waktu
Kanada,124070185,1.0,2.0,4.0,4.0,3.0,2.0,1.0,5.0,8.0,Laki-laki,1950.0,70.0,Menikah,Pensiunan
Kanada,124070186,1.0,1.0,2.0,1.0,10.0,10.0,10.0,10.0,7.0,Laki-laki,1946.0,74.0,Menikah,Pensiunan
Kanada,124070187,1.0,2.0,1.0,2.0,5.0,7.0,7.0,1.0,3.0,Laki-laki,1956.0,64.0,Menikah,Pensiunan
Kanada,124070189,2.0,2.0,2.0,4.0,6.0,8.0,8.0,5.0,3.0,Laki-laki,1954.0,66.0,Lajang,Pensiunan
Kanada,124070190,1.0,1.0,1.0,1.0,10.0,10.0,7.0,5.0,6.0,Perempuan,1986.0,34.0,Menikah,Penuh waktu
Kanada,124070191,1.0,1.0,2.0,4.0,9.0,8.0,7.0,3.0,5.0,Perempuan,1959.0,61.0,Lajang,Pensiunan
Kanada,124070192,1.0,1.0,1.0,4.0,8.0,10.0,9.0,4.0,5.0,Laki-laki,1962.0,58.0,Menikah,Pensiunan
Kanada,124070193,1.0,1.0,2.0,4.0,7.0,6.0,5.0,9.0,3.0,Laki-laki,1959.0,61.0,Bercerai,Pensiunan
Kanada,124070194,1.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,5.0,Laki-laki,1986.0,34.0,Lajang,Tidak bekerja
Kanada,124070195,1.0,2.0,2.0,1.0,9.0,9.0,9.0,4.0,4.0,Laki-laki,1943.0,77.0,Menikah,Pensiunan
Kanada,124070196,1.0,3.0,1.0,2.0,10.0,6.0,6.0,10.0,3.0,Perempuan,1964.0,56.0,Bercerai,Lainnya
Kanada,124070197,1.0,2.0,2.0,2.0,8.0,8.0,8.0,4.0,5.0,Perempuan,1977.0,43.0,Menikah,Penuh waktu
Kanada,124070198,1.0,1.0,2.0,4.0,6.0,7.0,8.0,3.0,7.0,Laki-laki,1954.0,65.0,Menikah,Pensiunan
Kanada,124070199,2.0,3.0,3.0,4.0,6.0,8.0,3.0,3.0,6.0,Laki-laki,1952.0,68.0,Lajang,Pensiunan
Kanada,124070201,1.0,1.0,1.0,1.0,6.0,4.0,7.0,4.0,7.0,Laki-laki,1976.0,44.0,Menikah,Penuh waktu
Kanada,124070202,1.0,1.0,1.0,1.0,6.0,8.0,7.0,9.0,7.0,Perempuan,1975.0,45.0,Menikah,Paruh waktu
Kanada,124070203,1.0,2.0,2.0,3.0,9.0,8.0,8.0,9.0,7.0,Laki-laki,1956.0,64.0,Kohabitasi,Pensiunan
Kanada,124070205,2.0,2.0,2.0,2.0,6.0,4.0,4.0,4.0,6.0,Laki-laki,1988.0,32.0,Menikah,Paruh waktu
Kanada,124070206,1.0,3.0,2.0,4.0,6.0,6.0,8.0,4.0,3.0,Perempuan,1953.0,67.0,Bercerai,Pensiunan
Kanada,124070207,2.0,2.0,2.0,4.0,8.0,8.0,9.0,8.0,3.0,Perempuan,1942.0,78.0,Menikah,Pensiunan
Kanada,124070208,1.0,2.0,1.0,2.0,10.0,9.0,8.0,4.0,5.0,Laki-laki,1987.0,32.0,Kohabitasi,Penuh waktu
Kanada,124070209,1.0,1.0,1.0,2.0,8.0,8.0,8.0,9.0,3.0,Laki-laki,1957.0,62.0,Menikah,Pensiunan
Kanada,124070210,1.0,4.0,1.0,2.0,7.0,6.0,5.0,3.0,7.0,Laki-laki,1971.0,49.0,Menikah,Penuh waktu
Kanada,124070211,1.0,1.0,1.0,1.0,10.0,8.0,7.0,5.0,7.0,Laki-laki,1983.0,37.0,Lajang,Penuh waktu
Kanada,124070212,1.0,1.0,1.0,1.0,9.0,7.0,7.0,2.0,7.0,Laki-laki,1996.0,24.0,Kohabitasi,Penuh waktu
Kanada,124070213,1.0,1.0,2.0,2.0,9.0,8.0,9.0,6.0,7.0,Perempuan,1951.0,69.0,Menikah,Pensiunan
Kanada,124070214,1.0,1.0,1.0,1.0,10.0,9.0,2.0,3.0,9.0,Laki-laki,1954.0,66.0,Menikah,Wiraswasta
Kanada,124070215,1.0,1.0,2.0,4.0,8.0,7.0,3.0,6.0,6.0,Perempuan,1950.0,70.0,Pisah,Pensiunan
Kanada,124070216,1.0,2.0,2.0,2.0,8.0,6.0,2.0,3.0,3.0,Perempuan,1992.0,28.0,Lajang,Penuh waktu
Kanada,124070217,3.0,2.0,2.0,4.0,4.0,7.0,3.0,4.0,5.0,Perempuan,1950.0,69.0,Bercerai,Pensiunan
Kanada,124070218,1.0,1.0,1.0,4.0,9.0,8.0,8.0,3.0,7.0,Laki-laki,1951.0,68.0,Menikah,Pensiunan
Kanada,124070219,1.0,1.0,1.0,1.0,9.0,8.0,9.0,3.0,5.0,Laki-laki,1991.0,29.0,Kohabitasi,Wiraswasta
Kanada,124070223,1.0,2.0,2.0,3.0,9.0,7.0,5.0,6.0,8.0,Perempuan,1956.0,63.0,Pisah,Pensiunan
Kanada,124070224,2.0,1.0,1.0,2.0,10.0,7.0,5.0,3.0,1.0,Laki-laki,1992.0,28.0,Menikah,Pelajar/Mahasiswa
Kanada,124070225,1.0,1.0,1.0,2.0,9.0,9.0,9.0,5.0,9.0,Perempuan,1975.0,45.0,Menikah,Penuh waktu
Kanada,124070226,1.0,1.0,1.0,1.0,9.0,8.0,7.0,8.0,5.0,Laki-laki,1953.0,67.0,Menikah,Pensiunan
Kanada,124070227,1.0,2.0,2.0,2.0,8.0,8.0,6.0,3.0,8.0,Laki-laki,1970.0,50.0,Menikah,Penuh waktu
Kanada,124070228,1.0,1.0,1.0,3.0,5.0,7.0,8.0,4.0,6.0,Perempuan,1991.0,29.0,Menikah,Penuh waktu
Kanada,124070230,1.0,3.0,1.0,4.0,9.0,6.0,4.0,10.0,3.0,Perempuan,1961.0,59.0,Menikah,Pensiunan
Kanada,124070231,1.0,1.0,1.0,1.0,7.0,8.0,7.0,1.0,3.0,Perempuan,1991.0,29.0,Lajang,Pelajar/Mahasiswa
Kanada,124070232,1.0,1.0,1.0,4.0,8.0,7.0,7.0,3.0,6.0,Laki-laki,1946.0,74.0,Menikah,Pensiunan
Kanada,124070234,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,9.0,Perempuan,1982.0,38.0,Menikah,Penuh waktu
Kanada,124070235,1.0,1.0,1.0,3.0,6.0,6.0,5.0,5.0,2.0,Perempuan,1983.0,37.0,Kohabitasi,Tidak bekerja
Kanada,124070236,1.0,2.0,2.0,2.0,4.0,7.0,3.0,5.0,4.0,Perempuan,1993.0,27.0,Menikah,Penuh waktu
Kanada,124070237,1.0,1.0,1.0,2.0,8.0,8.0,7.0,4.0,5.0,Laki-laki,1965.0,55.0,Menikah,Penuh waktu
