id_responden,negara,jenis_kelamin,tahun_lahir,usia,kepuasan_hidup,pentingnya_pekerjaan,kepuasan_finansial,kebebasan_memilih,religiusitas,skala_politik,status_pernikahan,status_pekerjaan,kelompok_usia
124073958,Kanada,Laki-laki,1936,84,7,1,7,7,5,7,Menikah,Pensiunan,61+
124074787,Kanada,Perempuan,1936,84,5,1,7,7,6,5,Janda/Duda,Pensiunan,61+
124075376,Kanada,Perempuan,1936,84,8,1,10,9,2,5,Bercerai,Pensiunan,61+
124075649,Kanada,Perempuan,1936,84,8,4,7,8,1,3,Janda/Duda,Pensiunan,61+
554070132,Selandia Baru,Perempuan,1935,84,4,1,4,6,4,5,Janda/Duda,Pensiunan,61+
554070281,Selandia Baru,Laki-laki,1935,84,7,4,8,7,4,8,Menikah,Pensiunan,61+
554070297,Selandia Baru,Perempuan,1935,84,5,2,3,5,10,6,Janda/Duda,Lainnya,61+
554070941,Selandia Baru,Laki-laki,1935,84,6,1,10,9,3,4,Menikah,Pensiunan,61+
702070410,Singapura,Perempuan,1935,84,6,4,9,2,8,10,Janda/Duda,Pensiunan,61+
702070417,Singapura,Perempuan,1935,84,6,2,6,8,8,8,Janda/Duda,Pensiunan,61+
702071121,Singapura,Perempuan,1936,84,6,4,6,6,6,10,Lajang,Pensiunan,61+
702071914,Singapura,Laki-laki,1936,84,5,2,10,10,9,7,Menikah,Pensiunan,61+
124073286,Kanada,Laki-laki,1937,83,9,3,8,9,3,6,Menikah,Pensiunan,61+
124074737,Kanada,Laki-laki,1936,83,4,2,3,3,4,8,Menikah,Paruh waktu,61+
124075177,Kanada,Laki-laki,1937,83,8,2,10,10,4,2,Janda/Duda,Pensiunan,61+
554070070,Selandia Baru,Laki-laki,1936,83,8,2,8,7,8,7,Menikah,Pensiunan,61+
554070081,Selandia Baru,Perempuan,1936,83,7,4,8,8,6,6,Lajang,Pensiunan,61+
554070339,Selandia Baru,Perempuan,1936,83,8,1,8,7,10,8,Janda/Duda,Pensiunan,61+
554070547,Selandia Baru,Perempuan,1936,83,10,1,10,9,6,7,Janda/Duda,Ibu rumah tangga,61+
554070599,Selandia Baru,Perempuan,1936,83,7,3,10,9,3,4,Janda/Duda,Pensiunan,61+
554070964,Selandia Baru,Perempuan,1936,83,8,2,7,7,4,6,Janda/Duda,Pensiunan,61+
124070320,Kanada,Laki-laki,1938,82,8,2,9,10,3,3,Menikah,Pensiunan,61+
124071268,Kanada,Perempuan,1938,82,5,2,9,6,8,3,Menikah,Pensiunan,61+
124071837,Kanada,Laki-laki,1938,82,9,3,8,8,3,3,Kohabitasi,Pensiunan,61+
124071849,Kanada,Laki-laki,1938,82,5,4,1,6,5,5,Lajang,Pensiunan,61+
124072458,Kanada,Laki-laki,1938,82,10,4,10,9,10,10,Menikah,Pensiunan,61+
124072984,Kanada,Laki-laki,1938,82,9,4,10,10,2,9,Menikah,Pensiunan,61+
124073170,Kanada,Laki-laki,1938,82,8,2,10,9,8,3,Menikah,Pensiunan,61+
124073674,Kanada,Laki-laki,1938,82,9,1,9,10,10,3,Menikah,Pensiunan,61+
124073796,Kanada,Laki-laki,1938,82,10,1,9,10,6,5,Menikah,Pensiunan,61+
124074906,Kanada,Laki-laki,1938,82,10,2,10,9,7,10,Menikah,Pensiunan,61+
124075179,Kanada,Laki-laki,1937,82,7,1,7,7,3,3,Menikah,Pensiunan,61+
124075304,Kanada,Perempuan,1938,82,8,2,9,9,8,5,Janda/Duda,Pensiunan,61+
124075741,Kanada,Laki-laki,1938,82,9,4,10,8,2,2,Janda/Duda,Pensiunan,61+
554070358,Selandia Baru,Perempuan,1937,82,10,4,10,10,10,10,Janda/Duda,Pensiunan,61+
554070624,Selandia Baru,Perempuan,1937,82,10,2,9,9,3,9,Menikah,Pensiunan,61+
554070662,Selandia Baru,Laki-laki,1937,82,8,2,9,8,3,5,Menikah,Penuh waktu,61+
554070924,Selandia Baru,Laki-laki,1937,82,9,4,8,9,10,7,Kohabitasi,Pensiunan,61+
702070288,Singapura,Laki-laki,1938,82,8,3,8,8,5,7,Janda/Duda,Pensiunan,61+
702070396,Singapura,Perempuan,1937,82,1,4,2,2,10,9,Janda/Duda,Ibu rumah tangga,61+
702070422,Singapura,Perempuan,1937,82,10,1,10,10,3,2,Janda/Duda,Wiraswasta,61+
702070823,Singapura,Laki-laki,1937,82,8,3,8,8,5,6,Menikah,Pensiunan,61+
702071119,Singapura,Perempuan,1938,82,7,4,7,4,7,3,Menikah,Ibu rumah tangga,61+
702071572,Singapura,Laki-laki,1937,82,9,1,8,8,4,8,Menikah,Pensiunan,61+
124070315,Kanada,Perempuan,1938,81,7,3,6,7,4,4,Bercerai,Pensiunan,61+
124072375,Kanada,Laki-laki,1939,81,8,3,7,8,10,9,Menikah,Pensiunan,61+
124073728,Kanada,Perempuan,1938,81,8,4,10,6,6,8,Menikah,Pensiunan,61+
124074866,Kanada,Perempuan,1938,81,5,3,7,7,4,5,Menikah,Pensiunan,61+
124075207,Kanada,Laki-laki,1939,81,9,1,10,8,6,6,Menikah,Pensiunan,61+
124075446,Kanada,Laki-laki,1939,81,9,2,7,8,6,3,Menikah,Pensiunan,61+
554070156,Selandia Baru,Perempuan,1938,81,7,2,5,9,7,5,Janda/Duda,Pensiunan,61+
554070473,Selandia Baru,Perempuan,1938,81,9,1,9,9,7,6,Menikah,Pensiunan,61+
554070812,Selandia Baru,Perempuan,1938,81,10,4,9,9,8,5,Menikah,Pensiunan,61+
554070858,Selandia Baru,Laki-laki,1938,81,8,4,6,7,9,7,Menikah,Pensiunan,61+
554071002,Selandia Baru,Laki-laki,1938,81,10,1,10,10,9,9,Menikah,Pensiunan,61+
702070044,Singapura,Perempuan,1939,81,5,2,8,9,5,5,Menikah,Ibu rumah tangga,61+
702070212,Singapura,Laki-laki,1938,81,5,3,4,5,6,10,Menikah,Pensiunan,61+
702070337,Singapura,Laki-laki,1939,81,5,3,6,5,4,5,Menikah,Pensiunan,61+
702070836,Singapura,Perempuan,1938,81,8,3,8,6,10,2,Menikah,Pensiunan,61+
702070846,Singapura,Laki-laki,1938,81,8,2,6,8,1,1,Janda/Duda,Pensiunan,61+
702071000,Singapura,Perempuan,1939,81,7,1,4,6,10,5,Janda/Duda,Penuh waktu,61+
702071248,Singapura,Laki-laki,1938,81,8,3,10,8,10,3,Menikah,Pensiunan,61+
702071305,Singapura,Laki-laki,1939,81,9,4,8,2,7,8,Menikah,Pensiunan,61+
124070145,Kanada,Perempuan,1940,80,9,3,9,9,7,10,Janda/Duda,Pensiunan,61+
124070427,Kanada,Laki-laki,1940,80,7,3,8,9,7,8,Menikah,Pensiunan,61+
124071216,Kanada,Laki-laki,1939,80,7,1,3,7,9,6,Menikah,Pensiunan,61+
124071351,Kanada,Perempuan,1939,80,8,4,10,8,3,5,Lajang,Pensiunan,61+
124071570,Kanada,Perempuan,1940,80,4,4,1,4,9,5,Janda/Duda,Pensiunan,61+
124072838,Kanada,Laki-laki,1940,80,8,3,8,8,7,6,Menikah,Pensiunan,61+
124072862,Kanada,Perempuan,1939,80,6,2,6,6,3,6,Menikah,Pensiunan,61+
124073039,Kanada,Laki-laki,1940,80,10,4,10,8,4,6,Menikah,Pensiunan,61+
124073168,Kanada,Laki-laki,1940,80,8,4,8,8,9,5,Menikah,Pensiunan,61+
124073887,Kanada,Perempuan,1940,80,7,1,9,8,1,4,Kohabitasi,Pensiunan,61+
124073916,Kanada,Laki-laki,1939,80,8,2,8,8,3,6,Menikah,Pensiunan,61+
124074340,Kanada,Laki-laki,1939,80,8,2,8,8,10,7,Menikah,Pensiunan,61+
124074761,Kanada,Laki-laki,1939,80,9,2,8,8,1,6,Menikah,Pensiunan,61+
124074951,Kanada,Laki-laki,1940,80,8,2,8,10,7,3,Menikah,Pensiunan,61+
124075112,Kanada,Laki-laki,1940,80,7,4,7,5,3,9,Menikah,Pensiunan,61+
124075673,Kanada,Laki-laki,1940,80,7,3,9,8,8,2,Menikah,Pensiunan,61+
554070034,Selandia Baru,Laki-laki,1939,80,9,2,8,9,5,7,Menikah,Pensiunan,61+
554070076,Selandia Baru,Laki-laki,1939,80,9,4,9,6,5,3,Menikah,Pensiunan,61+
554070431,Selandia Baru,Perempuan,1939,80,9,4,8,10,4,6,Janda/Duda,Pensiunan,61+
554070606,Selandia Baru,Laki-laki,1939,80,7,1,5,7,5,5,Pisah,Pensiunan,61+
554070704,Selandia Baru,Laki-laki,1939,80,8,1,8,6,4,8,Menikah,Pensiunan,61+
554070906,Selandia Baru,Perempuan,1939,80,8,1,6,5,7,5,Janda/Duda,Pensiunan,61+
554070919,Selandia Baru,Perempuan,1939,80,9,1,5,8,4,2,Janda/Duda,Wiraswasta,61+
554070960,Selandia Baru,Laki-laki,1939,80,9,1,10,8,7,7,Menikah,Pensiunan,61+
702070099,Singapura,Laki-laki,1940,80,7,3,6,5,6,6,Menikah,Pensiunan,61+
702070102,Singapura,Laki-laki,1940,80,8,2,6,5,9,6,Menikah,Wiraswasta,61+
702072000,Singapura,Laki-laki,1940,80,5,3,6,6,4,7,Janda/Duda,Pensiunan,61+
124070288,Kanada,Laki-laki,1941,79,9,1,8,8,10,2,Menikah,Pensiunan,61+
124070529,Kanada,Laki-laki,1940,79,8,1,7,8,4,4,Menikah,Pensiunan,61+
124070971,Kanada,Perempuan,1941,79,9,4,9,9,7,2,Menikah,Pensiunan,61+
124071200,Kanada,Laki-laki,1941,79,9,3,9,8,10,5,Menikah,Pensiunan,61+
124071450,Kanada,Laki-laki,1940,79,8,1,7,10,7,9,Janda/Duda,Wiraswasta,61+
124071470,Kanada,Laki-laki,1940,79,6,2,4,6,5,6,Janda/Duda,Pensiunan,61+
124072328,Kanada,Perempuan,1940,79,8,4,8,6,7,4,Janda/Duda,Pensiunan,61+
124072377,Kanada,Laki-laki,1940,79,9,1,9,8,6,1,Menikah,Wiraswasta,61+
124072665,Kanada,Perempuan,1941,79,10,2,10,9,3,6,Menikah,Pensiunan,61+
124073540,Kanada,Laki-laki,1941,79,8,1,8,7,3,8,Bercerai,Pensiunan,61+
124073605,Kanada,Laki-laki,1941,79,9,3,8,8,3,3,Menikah,Pensiunan,61+
124073831,Kanada,Perempuan,1941,79,8,4,9,10,5,8,Lajang,Pensiunan,61+
124073973,Kanada,Perempuan,1941,79,2,4,3,8,3,5,Kohabitasi,Pensiunan,61+
124073977,Kanada,Perempuan,1941,79,9,4,9,9,7,5,Menikah,Pensiunan,61+
124074127,Kanada,Perempuan,1941,79,9,4,9,9,7,9,Janda/Duda,Pensiunan,61+
124075788,Kanada,Laki-laki,1941,79,8,1,3,8,4,8,Menikah,Pensiunan,61+
554070135,Selandia Baru,Perempuan,1940,79,9,4,8,8,8,9,Menikah,Tidak bekerja,61+
554070142,Selandia Baru,Laki-laki,1940,79,9,1,9,9,3,9,Menikah,Pensiunan,61+
554070355,Selandia Baru,Perempuan,1940,79,6,2,6,8,7,5,Menikah,Pensiunan,61+
554070366,Selandia Baru,Perempuan,1940,79,10,1,10,10,6,10,Menikah,Tidak bekerja,61+
554070666,Selandia Baru,Perempuan,1940,79,8,3,7,7,3,8,Menikah,Pensiunan,61+
702070206,Singapura,Laki-laki,1941,79,5,2,5,5,5,5,Menikah,Pensiunan,61+
702070500,Singapura,Perempuan,1941,79,7,4,7,7,6,6,Janda/Duda,Ibu rumah tangga,61+
702070511,Singapura,Laki-laki,1940,79,8,2,8,8,10,6,Menikah,Pensiunan,61+
702070773,Singapura,Perempuan,1940,79,9,1,8,8,10,3,Lajang,Penuh waktu,61+
702071166,Singapura,Perempuan,1941,79,7,2,8,8,9,5,Janda/Duda,Pensiunan,61+
702071747,Singapura,Laki-laki,1941,79,8,1,9,6,7,6,Menikah,Pensiunan,61+
702072002,Singapura,Perempuan,1941,79,7,3,7,6,5,7,Janda/Duda,Pensiunan,61+
124070207,Kanada,Perempuan,1942,78,8,4,9,8,8,3,Menikah,Pensiunan,61+
124070379,Kanada,Laki-laki,1942,78,8,3,8,5,6,10,Menikah,Pensiunan,61+
124070380,Kanada,Laki-laki,1942,78,9,4,9,10,2,3,Pisah,Pensiunan,61+
124070817,Kanada,Perempuan,1942,78,9,4,7,8,1,3,Bercerai,Pensiunan,61+
124070931,Kanada,Perempuan,1942,78,8,1,8,7,9,5,Janda/Duda,Pensiunan,61+
124071031,Kanada,Laki-laki,1942,78,7,1,7,8,3,8,Menikah,Pensiunan,61+
124071352,Kanada,Laki-laki,1942,78,8,2,9,9,9,7,Menikah,Pensiunan,61+
124072431,Kanada,Laki-laki,1942,78,7,1,9,8,1,6,Menikah,Pensiunan,61+
124073016,Kanada,Laki-laki,1942,78,8,4,5,8,3,6,Menikah,Pensiunan,61+
124073712,Kanada,Perempuan,1942,78,5,3,7,5,4,2,Menikah,Pensiunan,61+
124074291,Kanada,Laki-laki,1942,78,8,2,6,8,4,3,Menikah,Pensiunan,61+
124074336,Kanada,Perempuan,1941,78,7,2,6,8,5,3,Menikah,Pensiunan,61+
124074880,Kanada,Laki-laki,1941,78,9,4,8,9,7,5,Menikah,Pensiunan,61+
124074946,Kanada,Laki-laki,1942,78,8,3,6,7,6,8,Menikah,Pensiunan,61+
124075026,Kanada,Perempuan,1941,78,8,1,10,8,3,5,Lajang,Pensiunan,61+
124075063,Kanada,Laki-laki,1942,78,7,2,6,8,7,8,Janda/Duda,Pensiunan,61+
124075197,Kanada,Laki-laki,1942,78,9,2,9,9,10,6,Menikah,Pensiunan,61+
124075355,Kanada,Laki-laki,1942,78,8,3,7,7,7,5,Menikah,Pensiunan,61+
124075770,Kanada,Laki-laki,1942,78,9,4,10,10,10,4,Menikah,Pensiunan,61+
124075799,Kanada,Laki-laki,1942,78,8,2,8,8,10,5,Menikah,Pensiunan,61+
554070052,Selandia Baru,Laki-laki,1941,78,9,2,8,9,8,8,Janda/Duda,Pensiunan,61+
554070120,Selandia Baru,Laki-laki,1941,78,9,1,8,8,4,5,Menikah,Pensiunan,61+
554070208,Selandia Baru,Laki-laki,1941,78,10,1,10,9,3,7,Menikah,Paruh waktu,61+
554070318,Selandia Baru,Laki-laki,1941,78,8,2,7,8,6,9,Janda/Duda,Pensiunan,61+
554070342,Selandia Baru,Laki-laki,1941,78,8,4,8,7,5,3,Janda/Duda,Pensiunan,61+
554070496,Selandia Baru,Perempuan,1941,78,7,4,5,8,6,1,Menikah,Pensiunan,61+
554070880,Selandia Baru,Laki-laki,1941,78,9,4,9,9,1,3,Menikah,Pensiunan,61+
554070967,Selandia Baru,Laki-laki,1941,78,9,4,10,10,3,7,Menikah,Pensiunan,61+
554071010,Selandia Baru,Laki-laki,1941,78,9,1,7,9,7,8,Menikah,Penuh waktu,61+
702070188,Singapura,Laki-laki,1941,78,4,4,5,2,4,4,Menikah,Paruh waktu,61+
702070369,Singapura,Perempuan,1942,78,7,1,8,10,9,5,Menikah,Pensiunan,61+
702070416,Singapura,Perempuan,1942,78,10,3,10,10,9,3,Bercerai,Pensiunan,61+
702070549,Singapura,Perempuan,1942,78,8,3,8,7,7,5,Janda/Duda,Ibu rumah tangga,61+
702070864,Singapura,Laki-laki,1941,78,7,4,7,8,7,1,Menikah,Pensiunan,61+
702071065,Singapura,Laki-laki,1941,78,10,2,10,10,7,2,Janda/Duda,Pensiunan,61+
702071474,Singapura,Laki-laki,1941,78,6,1,4,5,6,5,Janda/Duda,Tidak bekerja,61+
124070195,Kanada,Laki-laki,1943,77,9,1,9,9,4,4,Menikah,Pensiunan,61+
124070639,Kanada,Laki-laki,1943,77,8,4,2,2,3,6,Menikah,Pensiunan,61+
124070687,Kanada,Laki-laki,1943,77,7,4,8,8,2,8,Menikah,Pensiunan,61+
124070735,Kanada,Laki-laki,1943,77,8,2,8,10,9,5,Menikah,Pensiunan,61+
124070771,Kanada,Laki-laki,1943,77,10,4,8,10,9,5,Menikah,Pensiunan,61+
124071014,Kanada,Perempuan,1942,77,9,3,8,8,10,6,Menikah,Pensiunan,61+
124071337,Kanada,Perempuan,1943,77,8,4,6,8,10,10,Menikah,Pensiunan,61+
124071388,Kanada,Laki-laki,1942,77,8,1,7,9,10,5,Menikah,Pensiunan,61+
124071411,Kanada,Perempuan,1942,77,8,3,7,7,10,3,Lajang,Pensiunan,61+
124071780,Kanada,Perempuan,1943,77,8,2,7,10,9,2,Bercerai,Wiraswasta,61+
124071798,Kanada,Laki-laki,1943,77,7,3,7,8,4,3,Menikah,Pensiunan,61+
124072103,Kanada,Perempuan,1943,77,7,1,7,8,5,5,Janda/Duda,Pensiunan,61+
124072319,Kanada,Laki-laki,1943,77,8,3,8,8,6,8,Menikah,Pensiunan,61+
124072381,Kanada,Laki-laki,1943,77,8,1,9,9,5,4,Menikah,Wiraswasta,61+
124072388,Kanada,Perempuan,1943,77,8,4,7,8,5,2,Janda/Duda,Pensiunan,61+
124072400,Kanada,Perempuan,1943,77,6,2,2,3,5,5,Bercerai,Pensiunan,61+
124072414,Kanada,Perempuan,1942,77,6,4,8,5,2,5,Janda/Duda,Pensiunan,61+
124072554,Kanada,Laki-laki,1943,77,8,4,10,9,1,6,Menikah,Pensiunan,61+
124072643,Kanada,Perempuan,1943,77,7,1,8,3,6,10,Menikah,Pensiunan,61+
124072656,Kanada,Perempuan,1943,77,7,3,3,8,8,4,Janda/Duda,Pensiunan,61+
124072972,Kanada,Perempuan,1943,77,6,4,6,6,1,4,Bercerai,Pensiunan,61+
124073501,Kanada,Perempuan,1942,77,6,4,9,9,5,5,Menikah,Pensiunan,61+
124073956,Kanada,Perempuan,1943,77,8,4,8,9,5,5,Bercerai,Pensiunan,61+
124074280,Kanada,Laki-laki,1943,77,6,2,8,5,2,2,Menikah,Pensiunan,61+
124074383,Kanada,Laki-laki,1942,77,7,3,8,5,6,7,Menikah,Pensiunan,61+
124074688,Kanada,Laki-laki,1943,77,9,3,10,7,3,8,Menikah,Pensiunan,61+
124074711,Kanada,Laki-laki,1943,77,1,4,2,9,7,3,Lajang,Pensiunan,61+
124075312,Kanada,Laki-laki,1943,77,8,1,3,8,2,8,Menikah,Pensiunan,61+
124075777,Kanada,Perempuan,1943,77,9,4,7,10,8,5,Janda/Duda,Pensiunan,61+
124075843,Kanada,Laki-laki,1943,77,8,3,8,8,3,7,Menikah,Pensiunan,61+
124075972,Kanada,Perempuan,1942,77,8,3,9,8,6,5,Menikah,Pensiunan,61+
554070011,Selandia Baru,Laki-laki,1942,77,8,4,9,8,5,4,Janda/Duda,Pensiunan,61+
554070057,Selandia Baru,Perempuan,1942,77,9,4,10,9,5,7,Menikah,Pensiunan,61+
554070095,Selandia Baru,Perempuan,1942,77,7,4,7,7,4,7,Janda/Duda,Pensiunan,61+
554070096,Selandia Baru,Perempuan,1942,77,8,3,8,8,3,2,Menikah,Pensiunan,61+
554070163,Selandia Baru,Laki-laki,1942,77,8,2,5,9,3,7,Menikah,Pensiunan,61+
554070201,Selandia Baru,Laki-laki,1942,77,10,3,4,10,8,9,Menikah,Pensiunan,61+
554070262,Selandia Baru,Laki-laki,1942,77,9,1,10,9,9,6,Menikah,Pensiunan,61+
554070413,Selandia Baru,Perempuan,1942,77,6,4,5,5,8,9,Menikah,Pensiunan,61+
554070909,Selandia Baru,Perempuan,1942,77,10,2,10,7,4,7,Menikah,Pensiunan,61+
554070926,Selandia Baru,Laki-laki,1942,77,9,1,8,9,5,8,Menikah,Pensiunan,61+
554071047,Selandia Baru,Laki-laki,1942,77,9,4,7,10,5,1,Menikah,Pensiunan,61+
702070116,Singapura,Perempuan,1943,77,5,3,7,5,7,5,Menikah,Pensiunan,61+
702070393,Singapura,Laki-laki,1942,77,8,1,8,3,9,10,Menikah,Pensiunan,61+
702070602,Singapura,Perempuan,1942,77,8,3,8,8,7,5,Menikah,Pensiunan,61+
702070835,Singapura,Perempuan,1942,77,9,1,9,9,10,1,Menikah,Pensiunan,61+
702070921,Singapura,Perempuan,1942,77,10,4,10,10,3,4,Janda/Duda,Pensiunan,61+
702071374,Singapura,Laki-laki,1943,77,8,3,8,10,3,1,Janda/Duda,Pensiunan,61+
702071549,Singapura,Laki-laki,1942,77,5,1,3,5,9,5,Janda/Duda,Pensiunan,61+
702071799,Singapura,Laki-laki,1943,77,7,2,6,7,1,6,Menikah,Tidak bekerja,61+
702071824,Singapura,Laki-laki,1943,77,8,3,7,8,7,8,Bercerai,Paruh waktu,61+
124070003,Kanada,Perempuan,1944,76,5,1,8,7,9,10,Pisah,Pensiunan,61+
124070268,Kanada,Perempuan,1943,76,8,2,8,9,4,9,Lajang,Pensiunan,61+
124070486,Kanada,Laki-laki,1943,76,3,1,4,7,4,8,Menikah,Pensiunan,61+
124070502,Kanada,Laki-laki,1944,76,8,3,8,7,6,4,Menikah,Pensiunan,61+
124070733,Kanada,Perempuan,1944,76,8,4,8,9,8,3,Bercerai,Pensiunan,61+
124071022,Kanada,Perempuan,1944,76,8,2,7,8,8,7,Lajang,Pensiunan,61+
124071284,Kanada,Laki-laki,1944,76,7,1,3,3,2,7,Menikah,Pensiunan,61+
124071299,Kanada,Laki-laki,1944,76,8,3,9,8,6,10,Menikah,Pensiunan,61+
124071445,Kanada,Laki-laki,1944,76,8,4,6,8,3,5,Menikah,Pensiunan,61+
124071752,Kanada,Perempuan,1944,76,6,1,7,7,2,3,Bercerai,Paruh waktu,61+
124071939,Kanada,Laki-laki,1944,76,10,2,8,10,7,8,Menikah,Pensiunan,61+
124072165,Kanada,Perempuan,1944,76,9,4,9,9,2,5,Menikah,Pensiunan,61+
124072166,Kanada,Perempuan,1944,76,6,4,4,7,10,8,Janda/Duda,Pensiunan,61+
124072457,Kanada,Perempuan,1944,76,8,3,7,9,10,9,Menikah,Pensiunan,61+
124072900,Kanada,Perempuan,1944,76,10,4,10,10,10,3,Kohabitasi,Pensiunan,61+
124073049,Kanada,Laki-laki,1945,76,9,1,8,8,10,2,Menikah,Pensiunan,61+
124073110,Kanada,Laki-laki,1944,76,7,2,4,7,5,6,Menikah,Wiraswasta,61+
124073479,Kanada,Laki-laki,1943,76,8,2,5,7,8,5,Bercerai,Paruh waktu,61+
124074021,Kanada,Laki-laki,1944,76,5,3,5,3,10,8,Menikah,Pensiunan,61+
124074399,Kanada,Perempuan,1944,76,8,2,10,7,6,1,Menikah,Pensiunan,61+
124074413,Kanada,Perempuan,1944,76,9,3,7,9,3,5,Janda/Duda,Pensiunan,61+
124074645,Kanada,Laki-laki,1944,76,8,4,9,8,10,7,Menikah,Pensiunan,61+
124074709,Kanada,Laki-laki,1944,76,8,1,8,7,6,8,Menikah,Pensiunan,61+
124074744,Kanada,Laki-laki,1944,76,7,1,4,2,2,2,Kohabitasi,Pensiunan,61+
124074822,Kanada,Perempuan,1944,76,8,3,8,9,4,5,Bercerai,Pensiunan,61+
124074884,Kanada,Laki-laki,1944,76,9,1,10,9,9,4,Menikah,Pensiunan,61+
124075008,Kanada,Laki-laki,1944,76,9,1,9,8,5,4,Menikah,Wiraswasta,61+
124075075,Kanada,Laki-laki,1943,76,8,4,7,7,3,2,Kohabitasi,Pensiunan,61+
124075117,Kanada,Laki-laki,1944,76,6,1,3,7,8,1,Menikah,Paruh waktu,61+
124075139,Kanada,Laki-laki,1944,76,9,3,9,9,3,4,Menikah,Pensiunan,61+
124075173,Kanada,Laki-laki,1944,76,9,1,9,10,3,5,Menikah,Pensiunan,61+
124075313,Kanada,Laki-laki,1944,76,7,2,8,8,1,3,Menikah,Pensiunan,61+
124075327,Kanada,Laki-laki,1943,76,8,1,8,5,8,4,Janda/Duda,Pensiunan,61+
124075384,Kanada,Laki-laki,1943,76,7,3,6,7,2,3,Menikah,Pensiunan,61+
124075859,Kanada,Laki-laki,1944,76,9,2,8,10,3,5,Lajang,Wiraswasta,61+
